Name,Season,Season Year,Team,Rating,Goals,Bigchancescreated,Bigchancesmissed,Assists,Goalsassistssum,Accuratepasses,Inaccuratepasses,Totalpasses,Accuratepassespercentage,Accurateownhalfpasses,Accurateoppositionhalfpasses,Accuratefinalthirdpasses,Keypasses,Successfuldribbles,Successfuldribblespercentage,Tackles,Interceptions,Yellowcards,Directredcards,Redcards,Accuratecrosses,Accuratecrossespercentage,Totalshots,Shotsontarget,Shotsofftarget,Groundduelswon,Groundduelswonpercentage,Aerialduelswon,Aerialduelswonpercentage,Totalduelswon,Totalduelswonpercentage,Minutesplayed,Goalconversionpercentage,Penaltiestaken,Penaltygoals,Penaltywon,Penaltyconceded,Shotfromsetpiece,Freekickgoal,Goalsfrominsidethebox,Goalsfromoutsidethebox,Shotsfrominsidethebox,Shotsfromoutsidethebox,Headedgoals,Leftfootgoals,Rightfootgoals,Accuratelongballs,Accuratelongballspercentage,Clearances,Errorleadtogoal,Errorleadtoshot,Dispossessed,Possessionlost,Possessionwonattthird,Totalchippedpasses,Accuratechippedpasses,Touches,Wasfouled,Fouls,Hitwoodwork,Owngoals,Dribbledpast,Offsides,Blockedshots,Passtoassist,Saves,Cleansheet,Penaltyfaced,Penaltysave,Savedshotsfrominsidethebox,Savedshotsfromoutsidethebox,Goalsconcededinsidethebox,Goalsconcededoutsidethebox,Punches,Runsout,Successfulrunsout,Highclaims,Crossesnotclaimed,Matchesstarted,Penaltyconversion,Setpiececonversion,Totalattemptassist,Totalcontest,Totalcross,Duellost,Aeriallost,Attemptpenaltymiss,Attemptpenaltypost,Attemptpenaltytarget,Totallongballs,Goalsconceded,Tackleswon,,,,,,,,,,,,,
Robin van Persie,Champions League 13/14,13/14,manchester-united,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,6,,,,
Ashley Cole,Champions League 13/14,13/14,chelsea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,5,0,1,,
Jose Antonio Reyes,UEFA Champions League 15/16,15/16,sevilla,7.25,0,0,1,0,0,58,26,84,69.04761905,18,42,27,2,1,50,1,4,1,0,0,2,28.57142857,2,0,2,6,60,6,42.85714286,12,50,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,50,1,0,0,2,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,2,7,12,8,0,0,0,8,1,0,,,0,0,0,23,68,,2,,,,
Roman Weidenfeller,Champions League 13/14,13/14,borussia-dortmund,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,9,0,0,,
Roman Weidenfeller,Champions League 14/15,14/15,borussia-dortmund,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,7,0,0,,
Roman Weidenfeller,UEFA Champions League 16/17,16/17,borussia-dortmund,6.6,0,0,0,0,0,43,12,55,78.18181818,39,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,42.85714286,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,6,3,6,0,1,2,2,1,0,2,0,0,0,0,0,0,0,0,0,0,21,6,0,,,0,0,1,41,14,,2,,,,
Roman Weidenfeller,UEFA Champions League 17/18,17/18,borussia-dortmund,0,0,0,0,0,0,2,1,3,66.66666667,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,0,0,0,2,1,,1,,,,
Sebastian Kehl,Champions League 13/14,13/14,borussia-dortmund,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,422,0,,,,,,5,0,2,,
Sebastian Kehl,Champions League 14/15,14/15,borussia-dortmund,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,,,,4,0,1,,
Daniel Braaten,Champions League 13/14,13/14,fc-kobenhavn,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,330,0,,,,,,4,0,2,,
